City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
228,Bahia Honda,22.9036,-83.1592,72.66,83,100,12.03,CU,overcast clouds,2022-10-20 04:52:35
229,Zwedru,6.0667,-8.1281,69.37,99,100,1.99,LR,light rain,2022-10-20 04:52:35
230,Babu,24.4167,111.5167,84.15,18,99,2.24,CN,overcast clouds,2022-10-20 04:52:36
231,Ahipara,-35.1667,173.1667,60.44,70,24,12.39,NZ,few clouds,2022-10-20 04:52:36
232,Neftekamsk,56.092,54.2703,38.28,79,56,5.12,RU,broken clouds,2022-10-20 04:52:36
233,Mahibadhoo,3.7833,72.9667,81.28,77,88,13.24,MV,overcast clouds,2022-10-20 04:52:36
234,Padang,-0.9492,100.3543,80.65,65,100,5.79,ID,light rain,2022-10-20 04:52:37
235,Mao,39.8885,4.2658,70.36,94,75,2.3,ES,broken clouds,2022-10-20 04:52:37
236,Pangnirtung,66.1451,-65.7125,14.61,64,45,8.46,CA,scattered clouds,2022-10-20 04:52:38
237,San Cristobal,7.7669,-72.225,69.98,98,100,1.01,VE,overcast clouds,2022-10-20 04:52:38
238,Avera,33.194,-82.5271,41.92,51,0,6.53,US,clear sky,2022-10-20 04:52:38
239,Conceicao Do Araguaia,-8.2578,-49.2647,75.69,54,19,3.71,BR,few clouds,2022-10-20 04:52:39
240,Morondava,-20.2833,44.2833,79.38,74,2,2.98,MG,clear sky,2022-10-20 04:52:39
241,Raudeberg,61.9875,5.1352,36.27,62,98,3.89,NO,overcast clouds,2022-10-20 04:52:40
242,Carballo,43.213,-8.691,60.22,88,64,13.38,ES,broken clouds,2022-10-20 04:52:40
243,Zhangjiakou,40.81,114.8794,59.76,26,100,5.64,CN,overcast clouds,2022-10-20 04:52:40
244,Husavik,66.0449,-17.3389,30.7,74,70,9.55,IS,broken clouds,2022-10-20 04:52:41
245,Vila Franca Do Campo,37.7167,-25.4333,63.01,78,100,9.4,PT,overcast clouds,2022-10-20 04:52:41
246,Tanout,14.9709,8.8879,74.86,26,69,11.77,NE,broken clouds,2022-10-20 04:52:41
247,Provideniya,64.3833,-173.3,35.71,93,100,13.42,RU,mist,2022-10-20 04:50:57
248,Napa,38.4832,-122.3344,72.28,39,13,3.42,US,few clouds,2022-10-20 04:48:30
249,Chernyshevskiy,63.0128,112.4714,30.22,71,94,9.17,RU,overcast clouds,2022-10-20 04:52:42
250,Abhaynagar,23.0129,89.4049,85.51,54,0,11.1,BD,clear sky,2022-10-20 04:52:42
251,Haines Junction,60.7522,-137.5108,37.35,93,100,3.44,CA,overcast clouds,2022-10-20 04:52:43
252,Valdivia,-39.8142,-73.2459,50.09,95,98,3.47,CL,overcast clouds,2022-10-20 04:52:18
253,Port Lincoln,-34.7333,135.8667,65.41,62,19,8.52,AU,few clouds,2022-10-20 04:52:43
254,Metro,-5.1131,105.3067,86.16,64,100,5.01,ID,light rain,2022-10-20 04:52:44
255,Aras,42.5617,-2.356,57.76,76,0,5.75,ES,clear sky,2022-10-20 04:52:44
256,Bonavista,48.6499,-53.1147,52.74,92,97,12.75,CA,overcast clouds,2022-10-20 04:52:45
257,San Ramon,37.7799,-121.978,74.61,44,0,3.44,US,clear sky,2022-10-20 04:50:55
